,DRAFTSHEET  -  10 Team  -  0.5 PPR  -  1QB(12)/2RB(48)/3WR(65)/1TE(24)/0[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAYER SEARCH
,"Passing: 6 PPTD, 0.02 PPY, -2 Int  |  Rushing: 6 PPTD, 0.1 PPY  |  Receiving: 6 PPTD, 0.1 PPY, 0.5 PPR  |  Draft: use 'x' if drafted by someone else, 'o' if drafted by you  |  Updated: 2026-08-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE NAME HERE:
,QUARTERBACK,,,,,,,,,,RUNNING BACK,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,Position:
,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,Tier:
,2,Colston Loveland,CHI/10,139,16,67%,42,,57,,7,Zach Charbonnet,SEA/11,81,2,0%,145,,3,,5,De'Zhaun Stribling,SF/8,103,7,7%,146,,22,,
,2,Tyler Warren,IND/13,127,13,60%,53,,45,,7,Kaelon Black,SF/8,81,2,0%,243,,3,,5,Wan'Dale Robinson,TEN/9,102,6,6%,101,,21,,
,3,Harold Fannin Jr.,CLE/11,120,11,54%,80,,38,,7,Chris Rodriguez Jr.,JAC/7,78,1,0%,124,,0,,5,Xavier Worthy,KC/5,101,6,0%,126,,20,,
,3,Tucker Kraft,GB/11,119,11,49%,69,,38,,7,Alvin Kamara,NO/8,76,1,0%,151,,-2,,5,Denzel Boston,CLE/11,101,6,5%,161,,20,,
,3,Sam LaPorta,DET/6,117,10,43%,81,,36,,7,Isiah Pacheco,DET/6,75,1,0%,152,,-3,,5,Deebo Samuel Sr.,SF/8,100,6,4%,138,,18,,
,3,Kyle Pitts Sr.,ATL/11,117,10,38%,84,,36,,7,Tyler Allgeier,ARI/14,72,1,0%,131,,-7,,5,Stefon Diggs,WAS/7,98,5,4%,102,,17,,
,3,George Kittle,SF/8,116,10,33%,95,,34,,7,Dylan Sampson,CLE/11,70,1,0%,148,,-9,,5,Matthew Golden,GB/11,98,5,3%,129,,17,,
,3,Travis Kelce,KC/5,114,9,28%,105,,32,,7,Tyrone Tracy Jr.,NYG/8,69,1,0%,149,,-10,,5,Romeo Doubs,NE/11,97,5,3%,135,,16,,
,3,Dallas Goedert,PHI/10,113,9,23%,118,,32,,7,Braelon Allen,NYJ/13,67,1,0%,160,,-12,,5,Josh Downs,IND/13,97,5,2%,96,,16,,
,3,Mark Andrews,BAL/13,106,7,19%,125,,25,,8,Tank Bigsby,PHI/10,66,1,0%,141,,-13,,5,Rashid Shaheed,SEA/11,95,5,2%,153,,13,,
,3,Isaiah Likely,NYG/8,106,7,16%,119,,24,,8,Emmett Johnson,KC/5,65,1,0%,176,,-13,,5,Jalen Coker,CAR/5,94,4,1%,128,,13,,
,3,Dalton Kincaid,BUF/7,105,7,12%,115,,24,,8,Keaton Mitchell,LAC/7,64,1,0%,139,,-15,,5,Khalil Shakir,BUF/7,94,4,1%,133,,12,,
,4,Jake Ferguson,DAL/14,101,6,9%,132,,20,,8,Brian Robinson Jr.,ATL/11,64,1,0%,158,,-15,,5,Jordyn Tyson,NO/8,90,3,1%,134,,8,,
